cluster_min	score	zval
50	0.571416666667	1.8
60	0.5675	1.8
70	0.566083333333	1.8
80	0.563916666667	1.8
90	0.5625	1.8
100	0.55825	1.8
110	0.553083333333	1.8
120	0.550083333333	1.8
130	0.546	1.8
140	0.542916666667	1.8
150	0.538583333333	1.8
160	0.53325	1.8
170	0.529916666667	1.8
180	0.528916666667	1.8
190	0.529833333333	1.8
200	0.5295	1.8
210	0.502083333333	1.8
220	0.503	1.8
230	0.50325	1.8
240	0.502166666667	1.8
250	0.5045	1.8
260	0.505166666667	1.8
270	0.504666666667	1.8
280	0.505333333333	1.8
290	0.5055	1.8
300	0.505916666667	1.8
10	0.5555	1.9
20	0.570083333333	1.9
30	0.5675	1.9
40	0.563833333333	1.9
50	0.557416666667	1.9
60	0.554833333333	1.9
70	0.552916666667	1.9
80	0.547583333333	1.9
90	0.545083333333	1.9
100	0.5405	1.9
110	0.537083333333	1.9
120	0.534833333333	1.9
130	0.503416666667	1.9
140	0.503	1.9
150	0.502833333333	1.9
160	0.501166666667	1.9
170	0.4995	1.9
180	0.500166666667	1.9
190	0.502333333333	1.9
200	0.501583333333	1.9
210	0.501833333333	1.9
220	0.5015	1.9
230	0.5015	1.9
240	0.5015	1.9
250	0.501166666667	1.9
260	0.501666666667	1.9
270	0.50125	1.9
280	0.501666666667	1.9
290	0.500583333333	1.9
300	0.4985	1.9
10	0.5585	2.0
20	0.560083333333	2.0
30	0.556833333333	2.0
40	0.54925	2.0
50	0.54675	2.0
60	0.541666666667	2.0
70	0.540166666667	2.0
80	0.535916666667	2.0
90	0.505416666667	2.0
100	0.504333333333	2.0
110	0.50425	2.0
120	0.50275	2.0
130	0.501	2.0
140	0.50075	2.0
150	0.501333333333	2.0
160	0.501916666667	2.0
170	0.5015	2.0
180	0.50075	2.0
190	0.500666666667	2.0
200	0.46775	2.0
210	0.466583333333	2.0
220	0.418416666667	2.0
230	0.373916666667	2.0
240	0.372166666667	2.0
250	0.33075	2.0
260	0.329916666667	2.0
270	0.328583333333	2.0
280	0.3275	2.0
290	0.326166666667	2.0
300	0.323833333333	2.0
10	0.554333333333	2.1
20	0.553666666667	2.1
30	0.5475	2.1
40	0.54075	2.1
50	0.509666666667	2.1
60	0.506666666667	2.1
70	0.502416666667	2.1
80	0.502	2.1
90	0.500833333333	2.1
100	0.502166666667	2.1
110	0.469166666667	2.1
120	0.46875	2.1
130	0.467416666667	2.1
140	0.417916666667	2.1
150	0.374166666667	2.1
160	0.373083333333	2.1
170	0.372583333333	2.1
180	0.372	2.1
190	0.33275	2.1
200	0.284166666667	2.1
210	0.282583333333	2.1
220	0.281666666667	2.1
230	0.2805	2.1
240	0.279583333333	2.1
250	0.27825	2.1
260	0.276416666667	2.1
270	0.275083333333	2.1
280	0.273666666667	2.1
290	0.2305	2.1
300	0.229583333333	2.1
10	0.549583333333	2.2
20	0.545333333333	2.2
30	0.536583333333	2.2
40	0.50475	2.2
50	0.504833333333	2.2
